name,images,Roll_num,Reg_num,ex_atn,DAA,SEPM,DL,NLP,CN,APT,EEIM,MP,DAA_PR,DL_PR,NLP_PR
Abdel_Madi_Shabneh,1.0,M1,22ACSE8368358,0,0,0,0,0,0,0,0,0,0,0,0
Abdul_Rahman,1.0,M2,22ACSE6842679,0,0,0,0,0,0,0,0,0,0,0,0
Abel_Pacheco,4.0,M3,22ACSE2817632,0,0,0,0,0,0,0,0,0,0,0,0
Adriana_Lima,1.0,M4,22ACSE1096255,0,0,0,0,0,0,0,0,0,0,0,0
Afton_Smith,1.0,M5,22ACSE4227035,0,0,0,0,0,0,0,0,0,0,0,0
Ahmad_Jbarah,1.0,M6,22ACSE5887167,0,0,0,0,0,0,0,0,0,0,0,0
Akhmed_Zakayev,3.0,M7,22ACSE4570119,0,0,0,0,0,0,0,0,0,0,0,0
Alan_Dershowitz,1.0,M8,22ACSE9794569,0,0,0,0,0,0,0,0,0,0,0,0
Alanis_Morissette,1.0,M9,22ACSE7275078,0,0,0,0,0,0,0,0,0,0,0,0
Alberto_Gonzales,1.0,M10,22ACSE9183864,0,0,0,0,0,0,0,0,0,0,0,0
Alejandro_Atchugarry,2.0,M11,22ACSE9962509,0,0,0,0,0,0,0,0,0,0,0,0
Alexa_Loren,1.0,M12,22ACSE3422799,0,0,0,0,0,0,0,0,0,0,0,0
Alexander_Lukashenko,1.0,M13,22ACSE1806244,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso_Cuaron,1.0,M14,22ACSE9253183,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso_Soriano,1.0,M15,22ACSE3232570,0,0,0,0,0,0,0,0,0,0,0,0
Alonzo_Mourning,1.0,M16,22ACSE7126293,0,0,0,0,0,0,0,0,0,0,0,0
Amanda_Plumer,1.0,M17,22ACSE9708748,0,0,0,0,0,0,0,0,0,0,0,0
Amber_Tamblyn,2.0,M18,22ACSE8450813,0,0,0,0,0,0,0,0,0,0,0,0
Amporn_Falise,1.0,M19,22ACSE4992348,0,0,0,0,0,0,0,0,0,0,0,0
Anders_Fogh_Rasmussen,4.0,M20,22ACSE8033422,0,0,0,0,0,0,0,0,0,0,0,0
Andre_Bucher,1.0,M21,22ACSE9143692,0,0,0,0,0,0,0,0,0,0,0,0
Andrea_Bocelli,1.0,M22,22ACSE4308176,0,0,0,0,0,0,0,0,0,0,0,0
Andrea_Yates,1.0,M23,22ACSE4829555,0,0,0,0,0,0,0,0,0,0,0,0
Andrew_Gilligan,1.0,M24,22ACSE1104111,0,0,0,0,0,0,0,0,0,0,0,0
Andrew_Shutley,1.0,M25,22ACSE1920706,0,0,0,0,0,0,0,0,0,0,0,0
